player_name,season,team_long_name,league
Vadis Odjidja-Ofoe,2008/2009,Club Brugge KV,Belgium Jupiler League
Stijn Stijnen,2008/2009,Club Brugge KV,Belgium Jupiler League
Joseph Akpala,2008/2009,Club Brugge KV,Belgium Jupiler League
Jeroen Simaeys,2008/2009,Club Brugge KV,Belgium Jupiler League
"Slawomir Szeliga,26",2008/2009,Cracovia,Poland Ekstraklasa
Pawel Sasin,2008/2009,Cracovia,Poland Ekstraklasa
Marek Wasiluk,2008/2009,Cracovia,Poland Ekstraklasa
Piotr Polczak,2008/2009,Cracovia,Poland Ekstraklasa
Thorben Marx,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Dennis Eilhoff,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
"Nico Herzig,19",2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Robert Tesche,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Markus Schuler,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Daniel Halfar,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Nils Fischer,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Vlad Munteanu,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Markus Bollmann,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Andre Mijatovic,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Ruediger Kauf,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Jonas Kamper,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Artur Wichniarek,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
"Chris Katongo,30",2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Zlatko Janjic,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Michael Lamey,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Oliver Kirch,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Radim Kucera,2008/2009,DSC Arminia Bielefeld,Germany 1. Bundesliga
Purrel Fraenkel,2008/2009,De Graafschap,Netherlands Eredivisie
Jordy Buijs,2008/2009,De Graafschap,Netherlands Eredivisie
Stijn Wuytens,2008/2009,De Graafschap,Netherlands Eredivisie
Jason Oost,2008/2009,De Graafschap,Netherlands Eredivisie
Steve De Ridder,2008/2009,De Graafschap,Netherlands Eredivisie
Luuk de Jong,2008/2009,De Graafschap,Netherlands Eredivisie
Joep van den Ouweland,2008/2009,De Graafschap,Netherlands Eredivisie
Rogier Meijer,2008/2009,De Graafschap,Netherlands Eredivisie
Henrico Drost,2008/2009,De Graafschap,Netherlands Eredivisie
Ben Sahar,2008/2009,De Graafschap,Netherlands Eredivisie
Muslu Nalbantoglu,2008/2009,De Graafschap,Netherlands Eredivisie
Stephan Keller,2008/2009,De Graafschap,Netherlands Eredivisie
Joost Volmer,2008/2009,De Graafschap,Netherlands Eredivisie
David Goodwillie,2008/2009,Dundee United,Scotland Premier League
Sean Dillon,2008/2009,Dundee United,Scotland Premier League
Scott Robertson,2008/2009,Dundee United,Scotland Premier League
David Robertson,2008/2009,Dundee United,Scotland Premier League
Darren Dods,2008/2009,Dundee United,Scotland Premier League
Paul Dixon,2008/2009,Dundee United,Scotland Premier League
